relative_volume_band,signal_time,entry_time,exit_time,drop_return,entry_mid,entry_executed,exit_mid,exit_executed,quantity,exit_reason,broker_profile,gross_pnl,spread_cost,slippage_cost,broker_commission,sec_fee,finra_taf,cat_fee,regulatory_fees,total_broker_fees,commission_cost,net_pnl,relative_volume_30
low,2026-05-01 09:48:00-04:00,2026-05-01 09:49:00-04:00,2026-05-01 09:50:00-04:00,-0.007588156524326761,200.09,200.13002000089998,199.82982497089864,199.78986100420272,4,stop_loss,alpaca_personal_api,-1.0407001164054464,0.15996792998828369,0.1599679403952905,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.3906359867890206,0.7084288078984333
low,2026-05-01 10:16:00-04:00,2026-05-01 10:17:00-04:00,2026-05-01 10:21:00-04:00,-0.0020012007204323057,199.48,199.51989799479998,199.58,199.5400859958,5,max_holding,alpaca_personal_api,0.5000000000001137,0.19953000000000998,0.19952999499992075,0.0,0.03,0.01,0.0,0.04,0.04,0.0,0.06094000500018296,0.688696519312986
low,2026-05-01 10:27:00-04:00,2026-05-01 10:28:00-04:00,2026-05-01 10:29:00-04:00,-0.002253041606168238,199.29,199.32985999289997,199.03086520291063,198.9910610201787,5,stop_loss,alpaca_personal_api,-1.295673985446797,0.1991604326013885,0.19916044555813528,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.7339948636063207,0.6974163407649416
low,2026-05-01 10:58:00-04:00,2026-05-01 10:59:00-04:00,2026-05-01 11:01:00-04:00,-0.0020037068576868045,199.23,199.2698479923,198.97094322031154,198.9311510213769,5,stop_loss,alpaca_personal_api,-1.29528389844225,0.19910047161019406,0.1991004845629618,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.7334848546154058,0.6211859446033995
low,2026-05-04 09:45:00-04:00,2026-05-04 09:46:00-04:00,2026-05-04 09:46:00-04:00,-0.002193419740777691,200.14,200.18003000139998,199.8797599563979,199.8397860032042,4,stop_loss,alpaca_personal_api,-1.040960174408383,0.16000790398254594,0.16000791439216755,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.3909759927830965,0.744810633648944
low,2026-05-04 09:49:00-04:00,2026-05-04 09:50:00-04:00,2026-05-04 09:50:00-04:00,-0.005694021277658501,199.05,199.0898119905,198.79117727251426,198.75142102497153,5,stop_loss,alpaca_personal_api,-1.294113637428751,0.19892058863618445,0.1989206015774414,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.7319548276423768,0.6688769847561666
low,2026-05-04 09:51:00-04:00,2026-05-04 09:52:00-04:00,2026-05-04 09:52:00-04:00,-0.0026035147449054996,199.21,199.2498439921,198.95096922611188,198.91118102177637,5,stop_loss,alpaca_personal_api,-1.2951538694406395,0.19908048461303451,0.19908049756452328,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.7333148516181973,0.6722234791202772
low,2026-05-04 09:54:00-04:00,2026-05-04 09:55:00-04:00,2026-05-04 09:55:00-04:00,-0.0036168182046516506,198.36,198.3996739836,198.1020744726246,198.06245603875084,5,stop_loss,alpaca_personal_api,-1.2896276368770998,0.19823103723624058,0.19823105013244913,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.7260897242457895,0.715069592615991
low,2026-05-04 10:05:00-04:00,2026-05-04 10:06:00-04:00,2026-05-04 10:07:00-04:00,-0.0045289855072464524,197.82,197.85956597819998,198.2552851101564,198.21563603568723,5,take_profit,alpaca_personal_api,2.1764255507819996,0.19803764255499345,0.19803762079078524,0.0,0.03,0.01,0.0,0.04,0.04,0.0,1.7403502874362209,0.6843750125209852
low,2026-05-04 10:18:00-04:00,2026-05-04 10:19:00-04:00,2026-05-04 10:20:00-04:00,-0.0030211480362537513,197.99,198.0295999799,197.73255557993016,197.69301104613973,5,stop_loss,alpaca_personal_api,-1.2872221003492257,0.19786127778999685,0.19786129066218905,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.7229446688014116,0.7432474852768478
