session,trade_count,win_rate,expectancy,profit_factor,total_net_pnl
2026-07-01,17,0.0,-2.548919287603361,0.0,-43.331627889257135
2026-07-02,37,0.0,-1.842648610013736,0.0,-68.17799857050824
2026-07-06,9,0.0,-2.1893486811157334,0.0,-19.7041381300416
2026-07-07,21,0.0,-2.276497153277756,0.0,-47.806440218832876
2026-07-08,21,0.0,-2.480773657705647,0.0,-52.09624681181859
2026-07-09,19,0.0,-2.6945752479446847,0.0,-51.19692971094901
2026-07-10,22,0.0,-2.0474043091348335,0.0,-45.04289480096634
2026-07-13,33,0.0,-2.294465199654796,0.0,-75.71735158860827
2026-07-14,13,0.0,-1.6114408641862015,0.0,-20.94873123442062
2026-07-15,33,0.0,-2.3666491330619315,0.0,-78.09942139104373
2026-07-16,28,0.0,-2.5643493905634704,0.0,-71.80178293577717
2026-07-17,34,0.0,-2.259701797057925,0.0,-76.82986109996946
2026-07-20,26,0.0,-2.520102457701324,0.0,-65.52266390023442
2026-07-21,14,0.0,-2.0323107879410713,0.0,-28.452351031175
2026-07-22,15,0.0,-1.829393971227023,0.0,-27.440909568405345
2026-07-23,28,0.0,-2.1155911362273963,0.0,-59.23655181436709
2026-07-24,25,0.0,-2.7686819804915697,0.0,-69.21704951228924
2026-07-27,43,0.0,-3.0031812289954307,0.0,-129.13679284680353
2026-07-28,27,0.0,-2.060123205503291,0.0,-55.623326548588864
2026-07-29,41,0.0,-2.452021503447133,0.0,-100.53288164133247
2026-07-30,24,0.0,-2.332187647747665,0.0,-55.972503545943965
2026-07-31,32,0.0,-2.761418743581779,0.0,-88.36539979461693
