entry_hour,volatility_regime,trade_count,win_rate,expectancy,profit_factor,total_net_pnl
9,high,71,0.38028169014084506,-0.1116979422534932,0.856975705857096,-7.930553899998017
9,normal,13,0.38461538461538464,-0.06715134615382332,0.9154733366787259,-0.872967499999703
10,high,83,0.39759036144578314,-0.10689933975900628,0.8674335918381877,-8.872645199997521
10,low,2,1.0,1.1811999999999756,inf,2.362399999999951
10,normal,76,0.4605263157894737,0.1060122368421224,1.1618841457777516,8.056930000001302
11,high,22,0.36363636363636365,-0.3388814022727021,0.6073496939496218,-7.455390849999446
11,low,14,0.5,-0.02903214285712506,0.946045720096192,-0.40644999999975084
11,normal,36,0.7222222222222222,0.8632364444444486,3.63824423307452,31.07651200000015
12,low,39,0.48717948717948717,0.10469130384617806,1.1990964756336406,4.082960850000944
12,normal,26,0.6153846153846154,0.5227056057692607,2.271171428329045,13.590345750000779
13,low,40,0.5,0.10403132750001091,1.234365582879008,4.161253100000437
13,normal,8,0.25,-0.4568596562499785,0.43344347453584015,-3.654877249999828
14,low,46,0.4782608695652174,0.1452953804348021,1.3700226863262746,6.683587500000897
14,normal,4,0.75,0.7561061875000235,3.084480058500731,3.024424750000094
15,high,4,0.0,-1.4381906249999687,0.0,-5.752762499999875
15,low,39,0.4358974358974359,-0.26866244358973074,0.5370413542786373,-10.477835299999498
15,normal,16,0.3125,-0.5133453499999678,0.45739808371056107,-8.213525599999485
